,0
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,1
127,0
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,1
335,0
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,0
