iter	Passed	Remaining
0	20	1998
1	35	1748
2	49	1609
3	93	2243
4	137	2604
5	174	2736
6	209	2786
7	245	2824
8	277	2807
9	296	2666
10	337	2729
11	370	2716
12	389	2607
13	409	2514
14	424	2404
15	440	2311
16	463	2261
17	494	2254
18	519	2213
19	535	2143
20	552	2078
21	569	2018
22	588	1969
23	603	1911
24	618	1855
25	636	1811
26	652	1764
27	676	1739
28	700	1714
29	727	1697
30	753	1677
31	771	1638
32	788	1601
33	807	1567
34	827	1536
35	845	1503
36	862	1468
37	885	1444
38	911	1424
39	930	1396
40	950	1367
41	967	1336
42	985	1305
43	1000	1272
44	1015	1241
45	1030	1209
46	1045	1179
47	1063	1152
48	1082	1126
49	1103	1103
50	1125	1081
51	1175	1084
52	1194	1059
53	1208	1029
54	1224	1001
55	1240	974
56	1260	950
57	1276	924
58	1297	901
59	1317	878
60	1340	857
61	1362	834
62	1378	809
63	1394	784
64	1409	758
65	1424	733
66	1440	709
67	1455	685
68	1472	661
69	1501	643
70	1523	622
71	1543	600
72	1561	577
73	1578	554
74	1593	531
75	1610	508
76	1626	485
77	1641	463
78	1658	440
79	1675	418
80	1691	396
81	1710	375
82	1735	355
83	1761	335
84	1781	314
85	1800	293
86	1814	271
87	1828	249
88	1844	227
89	1859	206
90	1874	185
91	1891	164
92	1905	143
93	1926	122
94	1949	102
95	1984	82
96	2019	62
97	2035	41
98	2049	20
99	2064	0
